name,url,discount_rate,original_price,discounted_price
20수 하트 볼 반팔 티셔츠 블루 상품상세로 이동,https://image.msscdn.net/thumbnails/images/goods_img/20230623/3380062/3380062_16874987398446_big.jpg?w=780,20%,46000원,36800원
KSB0058 썸머 롱슬리브리스 - 블랙 상품상세로 이동,https://image.msscdn.net/thumbnails/images/goods_img/20220609/2606197/2606197_1_big.jpg?w=780,20%,42000원,33600원
프로메테우스 반팔 티셔츠 화이트 상품상세로 이동,https://image.msscdn.net/thumbnails/images/goods_img/20230519/3311265/3311265_16844718607613_big.jpg?w=780,0%,48000원,48000원
Spaceguns Tee/Blue 상품상세로 이동,https://image.msscdn.net/thumbnails/images/goods_img/20230221/3098484/3098484_16800809801952_big.jpg?w=780,0%,64900원,64900원
플라워 포인트 오버핏 맨투맨_LTTY030CR 상품상세로 이동,https://image.msscdn.net/thumbnails/images/goods_img/20220913/2785042/2785042_1_big.jpg?w=780,22%,45900원,35900원
5U-039 RACE 상품상세로 이동,https://image.msscdn.net/thumbnails/images/goods_img/20150723/230212/230212_1_big.jpg?w=780,29%,28000원,19900원
