name,url,discount_rate,original_price,discounted_price
남) 기모 코듀로이 스판 테이퍼드 치노(COCOA) [FNRWCNI142M] 상품상세로 이동,https://image.msscdn.net/thumbnails/images/goods_img/20241001/4478936/4478936_17277407868835_big.jpg?w=780,81%,99000원,19000원
나일론 투 턱 테이핑 팬츠-블랙 상품상세로 이동,https://image.msscdn.net/thumbnails/images/goods_img/20240112/3792018/3792018_17150620287685_big.jpg?w=780,38%,58000원,35990원
FST WIDE DENIM BL 상품상세로 이동,https://image.msscdn.net/thumbnails/images/goods_img/20240930/4478833/4478833_17288841689793_big.jpg?w=780,7%,138000원,128900원
