name,url,discount_rate,original_price,discounted_price
F212WOP761 우먼스 엔에프엘 숏 슬리브 원피스 NFL RED 상품상세로 이동,https://image.msscdn.net/thumbnails/images/goods_img/20210114/1749276/1749276_1_big.jpg?w=780,55%,65000원,29000원
머메이드 패딩 롱 스커트 (다크 그레이) 상품상세로 이동,https://image.msscdn.net/thumbnails/images/goods_img/20231206/3746891/3746891_17024565142854_big.jpg?w=780,0%,169000원,169000원
세일러 카라 레이스 퍼프 오버핏 긴팔 원피스 (DO3OW018A) 상품상세로 이동,https://image.msscdn.net/thumbnails/images/goods_img/20241016/4524492/4524492_17290609051509_big.jpg?w=780,65%,99000원,34900원
